Kline open time,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2020-10-29 12:00:00 AM,13255.79,13637.22,12965.00,13446.65,355352.336,1247634,182192.752
2020-10-30 12:00:00 AM,13446.65,13665.65,13100.00,13549.12,349890.573,1245765,178139.677
2020-10-31 12:00:00 AM,13549.12,14140.00,13403.36,13783.73,357853.230,1344037,182804.838
2020-11-01 12:00:00 AM,13783.73,13891.52,13605.90,13752.86,198395.231,885249,97711.344
2020-11-02 12:00:00 AM,13752.87,13823.75,13195.00,13540.54,327991.768,1222326,161896.733
2020-11-03 12:00:00 AM,13541.55,14070.00,13276.33,14016.55,348730.510,1303446,177409.088
2020-11-04 12:00:00 AM,14016.55,14280.00,13512.00,14134.31,451433.420,1677175,229094.676
2020-11-05 12:00:00 AM,14134.32,15777.00,14088.01,15598.75,717489.697,2418730,355528.624
2020-11-06 12:00:00 AM,15598.74,15984.20,15177.00,15590.96,559380.060,2067927,260161.397
2020-11-07 12:00:00 AM,15590.95,15774.00,14350.00,14824.34,457582.681,1783469,217481.959
2020-11-08 12:00:00 AM,14824.33,15678.00,14710.00,15473.20,290616.393,1188596,140057.853
2020-11-09 12:00:00 AM,15473.20,15869.00,14822.00,15328.72,474181.983,1801578,225448.915
2020-11-10 12:00:00 AM,15328.72,15474.17,15071.00,15294.68,244073.495,1109192,117575.616
2020-11-11 12:00:00 AM,15294.68,16000.00,15274.89,15690.24,330772.852,1387218,159256.703
2020-11-12 12:00:00 AM,15690.24,16345.00,15437.70,16289.02,471759.126,1927371,234735.974
2020-11-13 12:00:00 AM,16289.01,16479.99,15955.60,16320.54,306656.359,1405591,144127.705
2020-11-14 12:00:00 AM,16320.54,16326.82,15700.00,16064.51,266206.937,1235238,135009.442
2020-11-15 12:00:00 AM,16064.51,16161.23,15768.00,15952.27,210318.453,1160914,109037.561
2020-11-16 12:00:00 AM,15951.93,16882.00,15862.00,16707.07,342459.329,1452989,180565.446
2020-11-17 12:00:00 AM,16707.00,17890.10,16550.00,17670.01,524094.697,2012288,261569.252
2020-11-18 12:00:00 AM,17670.01,18520.00,17215.03,17788.32,732937.097,2750334,352520.464
2020-11-19 12:00:00 AM,17788.32,18200.00,17347.27,17811.68,406500.977,1642647,198063.499
2020-11-20 12:00:00 AM,17811.68,18831.60,17748.92,18664.31,407926.802,1699255,196545.447
2020-11-21 12:00:00 AM,18662.85,18986.00,18302.08,18721.99,342412.490,1467289,160371.675
2020-11-22 12:00:00 AM,18721.99,18780.00,17645.98,18435.20,373779.417,1611056,174390.001
2020-11-23 12:00:00 AM,18434.17,18812.65,18013.97,18382.07,364221.378,1558298,175670.660
2020-11-24 12:00:00 AM,18382.07,19440.00,18000.00,19179.64,477968.289,2009567,227534.885
2020-11-25 12:00:00 AM,19178.53,19554.19,18509.12,18741.67,426276.990,1821978,200114.327
2020-11-26 12:00:00 AM,18741.66,18940.69,16181.00,17155.34,850692.856,3571835,401324.909
2020-11-27 12:00:00 AM,17155.37,17465.00,16444.83,17144.10,398072.933,1639548,191478.013
2020-11-28 12:00:00 AM,17144.11,17880.00,16865.78,17717.74,268833.749,1129925,129558.247
2020-11-29 12:00:00 AM,17717.74,18343.00,17523.00,18181.09,256024.006,1125785,130770.777
2020-11-30 12:00:00 AM,18180.43,19944.00,18178.82,19720.00,500482.574,2089768,257982.052
2020-12-01 12:00:00 AM,19722.09,19956.00,18050.00,18772.70,553885.333,2558348,268754.539
2020-12-02 12:00:00 AM,18770.33,19365.00,18329.58,19207.01,335717.482,1606530,164736.833
2020-12-03 12:00:00 AM,19207.01,19640.00,18865.00,19434.30,245020.576,1272309,121969.824
2020-12-04 12:00:00 AM,19432.66,19537.16,18570.00,18664.20,276271.939,1376095,130243.878
2020-12-05 12:00:00 AM,18662.72,19203.46,18510.00,19147.62,165912.647,946103,82521.250
2020-12-06 12:00:00 AM,19147.63,19449.10,18855.35,19375.02,176004.606,943780,87915.750
2020-12-07 12:00:00 AM,19375.00,19446.36,18908.66,19172.88,169402.371,926894,82063.358
2020-12-08 12:00:00 AM,19172.87,19319.38,18133.33,18319.32,280714.132,1351027,133427.044
2020-12-09 12:00:00 AM,18319.33,18639.70,17650.00,18537.98,353123.689,1673883,178303.953
2020-12-10 12:00:00 AM,18537.97,18550.00,17916.00,18253.51,233960.241,1241586,116243.722
2020-12-11 12:00:00 AM,18254.00,18290.44,17555.00,18031.47,317866.070,1563578,160142.007
2020-12-12 12:00:00 AM,18031.71,18950.00,18012.21,18800.00,196962.282,1080853,106123.938
2020-12-13 12:00:00 AM,18800.00,19432.00,18705.46,19175.07,239760.089,1182585,121821.870
2020-12-14 12:00:00 AM,19175.06,19355.35,19004.72,19270.70,181555.823,1063827,90220.454
2020-12-15 12:00:00 AM,19270.71,19598.00,19039.64,19424.91,248744.054,1313847,122075.043
2020-12-16 12:00:00 AM,19424.90,21600.00,19274.55,21346.80,459302.012,2298208,241794.889
2020-12-17 12:00:00 AM,21346.81,23888.04,21231.50,22816.99,823435.821,4179029,410694.991
2020-12-18 12:00:00 AM,22816.99,23330.00,22363.94,23124.35,305997.222,1812455,151397.139
2020-12-19 12:00:00 AM,23124.35,24281.61,22735.81,23847.28,337535.438,1930474,167811.299
2020-12-20 12:00:00 AM,23847.28,24376.00,23076.25,23472.96,322289.774,1951223,155605.498
2020-12-21 12:00:00 AM,23472.96,24145.00,21920.00,22730.10,476456.589,2612726,231309.940
2020-12-22 12:00:00 AM,22736.05,23850.00,22387.00,23826.99,326124.313,1923785,163772.657
2020-12-23 12:00:00 AM,23826.74,24235.42,22572.52,23238.27,394754.939,2386530,192721.439
2020-12-24 12:00:00 AM,23237.73,23819.81,22700.00,23737.44,237754.257,1532684,120539.758
2020-12-25 12:00:00 AM,23738.75,24827.64,23450.00,24730.00,284523.431,1821407,144345.703
2020-12-26 12:00:00 AM,24729.99,26926.00,24507.24,26508.83,367265.555,2300815,186138.692
2020-12-27 12:00:00 AM,26508.84,28459.84,25850.00,26305.64,540264.148,3325654,263441.238
2020-12-28 12:00:00 AM,26301.76,27538.82,26117.10,27102.66,267563.468,1946973,129242.798
2020-12-29 12:00:00 AM,27101.45,27441.73,25913.01,27402.83,260759.449,1833178,126931.719
2020-12-30 12:00:00 AM,27402.83,29063.72,27401.00,28906.99,374737.655,2363568,185801.158
2020-12-31 12:00:00 AM,28906.99,29376.70,27848.00,28951.68,313648.835,2151517,148980.530
2021-01-01 12:00:00 AM,28948.19,29668.86,28627.12,29337.16,210716.398,1511793,101247.902
2021-01-02 12:00:00 AM,29337.15,33480.00,28958.24,32199.91,545541.080,3514545,273388.463
2021-01-03 12:00:00 AM,32198.41,34832.25,32000.02,33054.53,487486.989,3325307,238761.657
2021-01-04 12:00:00 AM,33053.93,33653.56,27800.00,32031.07,506128.023,3470951,242947.199
2021-01-05 12:00:00 AM,32029.55,34500.00,29900.00,33999.52,433720.833,3077140,214417.082
2021-01-06 12:00:00 AM,33999.51,37037.51,33356.46,36823.68,444019.830,3343780,221236.888
2021-01-07 12:00:00 AM,36825.77,40565.62,36337.36,39498.92,520147.908,3936708,257944.968
