date,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2023-02-13 08:00:00 AM,21857.10,21865.10,21689.00,21711.40,23518.726,144593,10902.238
2023-02-13 09:00:00 AM,21711.40,21745.00,21470.40,21572.40,64333.355,332900,29886.738
2023-02-13 10:00:00 AM,21572.30,21640.10,21410.00,21587.00,36842.954,209006,18006.766
2023-02-13 11:00:00 AM,21587.00,21632.00,21560.90,21595.90,16237.120,103483,8413.208
2023-02-13 12:00:00 PM,21595.90,21688.00,21580.00,21649.90,17007.951,104899,9145.357
2023-02-13 01:00:00 PM,21650.00,21659.60,21561.00,21564.50,15020.733,101001,7248.038
2023-02-13 02:00:00 PM,21564.60,21679.00,21551.10,21662.70,24402.582,150832,13326.268
2023-02-13 03:00:00 PM,21662.70,21670.50,21544.80,21553.30,19826.531,131424,9171.456
2023-02-13 04:00:00 PM,21553.30,21638.90,21359.00,21496.90,51855.034,273664,24046.184
2023-02-13 05:00:00 PM,21497.00,21538.10,21338.00,21453.00,37048.792,213017,18517.725
2023-02-13 06:00:00 PM,21453.00,21668.00,21441.10,21628.60,28790.380,173361,16021.193
2023-02-13 07:00:00 PM,21628.70,21650.00,21526.60,21597.80,17152.465,107850,8177.798
2023-02-13 08:00:00 PM,21597.90,21660.00,21552.50,21654.90,11803.663,85279,6405.573
2023-02-13 09:00:00 PM,21655.00,21667.90,21573.40,21604.10,7650.166,56040,3744.122
2023-02-13 10:00:00 PM,21604.10,21670.00,21593.40,21628.60,6166.264,48554,3395.682
2023-02-13 11:00:00 PM,21628.60,21840.00,21626.80,21766.20,29344.002,163050,16704.864
2023-02-14 12:00:00 AM,21766.10,21806.50,21722.30,21727.60,11733.572,83431,5611.236
2023-02-14 01:00:00 AM,21727.70,21753.30,21670.80,21698.70,7944.819,60790,3943.391
2023-02-14 02:00:00 AM,21698.70,21731.00,21689.50,21705.80,5578.589,44114,3259.731
2023-02-14 03:00:00 AM,21705.90,21739.90,21681.60,21691.80,6148.213,43060,2857.555
2023-02-14 04:00:00 AM,21691.80,21730.00,21676.50,21696.10,6111.674,41558,3141.930
2023-02-14 05:00:00 AM,21696.10,21726.10,21689.60,21717.30,4568.873,37113,2351.616
2023-02-14 06:00:00 AM,21717.30,21758.00,21710.40,21736.70,7092.453,51034,4120.309
2023-02-14 07:00:00 AM,21736.70,21780.00,21731.00,21759.90,6401.292,46426,3356.942
2023-02-14 08:00:00 AM,21760.00,21765.00,21659.10,21685.50,10995.374,72352,4646.516
2023-02-14 09:00:00 AM,21685.40,21880.00,21675.30,21808.70,18570.378,114881,10160.552
2023-02-14 10:00:00 AM,21808.70,21830.00,21775.50,21799.90,11654.050,91666,5971.396
2023-02-14 11:00:00 AM,21799.90,21808.20,21764.10,21798.90,6214.779,55199,3184.951
2023-02-14 12:00:00 PM,21798.90,21894.10,21785.40,21850.00,14004.451,97341,7437.340
2023-02-14 01:00:00 PM,21850.00,21887.20,21485.20,21711.30,92791.301,485624,43622.574
2023-02-14 02:00:00 PM,21711.30,22250.00,21560.00,22239.90,109984.903,550110,59937.214
2023-02-14 03:00:00 PM,22240.00,22320.00,21843.60,22033.30,108640.670,589106,52176.725
2023-02-14 04:00:00 PM,22033.40,22124.00,21910.20,22001.30,45439.921,274988,22434.156
2023-02-14 05:00:00 PM,22001.30,22075.00,21986.80,22041.20,21540.620,144974,10981.042
2023-02-14 06:00:00 PM,22041.20,22174.30,22035.20,22106.00,28032.050,169878,14752.226
2023-02-14 07:00:00 PM,22106.10,22230.80,22054.30,22196.70,26268.900,165490,13312.233
2023-02-14 08:00:00 PM,22196.80,22251.40,22157.00,22243.40,14951.678,107944,8024.494
2023-02-14 09:00:00 PM,22243.40,22275.00,22110.40,22230.60,18663.036,122223,8768.383
2023-02-14 10:00:00 PM,22230.60,22238.00,22143.50,22176.70,6987.456,61608,3371.491
2023-02-14 11:00:00 PM,22176.80,22248.20,22156.70,22187.40,8472.457,71839,4290.760
2023-02-15 12:00:00 AM,22187.40,22190.80,22098.60,22137.10,11587.477,84149,5491.522
2023-02-15 01:00:00 AM,22137.00,22157.10,22080.60,22100.60,6950.562,56544,3140.719
2023-02-15 02:00:00 AM,22100.70,22120.00,22038.50,22063.00,8879.042,65447,4387.613
2023-02-15 03:00:00 AM,22063.00,22123.10,22059.60,22088.90,8163.079,59468,4468.909
2023-02-15 04:00:00 AM,22088.90,22110.00,22061.20,22074.30,4466.550,37045,2189.116
2023-02-15 05:00:00 AM,22074.30,22137.10,22074.20,22125.90,6020.520,48620,3498.013
2023-02-15 06:00:00 AM,22125.90,22148.00,22095.80,22107.10,5068.649,43580,2311.682
2023-02-15 07:00:00 AM,22107.10,22164.40,22085.10,22097.50,8340.454,56810,4312.517
2023-02-15 08:00:00 AM,22097.40,22120.00,22077.00,22080.80,7597.855,53596,3758.445
2023-02-15 09:00:00 AM,22080.80,22191.20,22075.90,22161.90,8711.570,58057,5027.228
2023-02-15 10:00:00 AM,22161.90,22244.00,22136.50,22222.60,15307.304,99007,8418.704
2023-02-15 11:00:00 AM,22222.70,22500.00,22212.90,22433.00,54449.598,274755,30590.699
2023-02-15 12:00:00 PM,22433.00,22924.90,22432.90,22763.60,96483.152,499388,53951.940
2023-02-15 01:00:00 PM,22763.60,22775.30,22662.00,22687.10,36160.876,230308,17972.031
2023-02-15 02:00:00 PM,22687.10,22787.80,22610.90,22677.30,37571.029,225758,18524.382
2023-02-15 03:00:00 PM,22677.30,22880.00,22652.70,22798.10,36944.050,225611,19566.294
2023-02-15 04:00:00 PM,22798.00,22939.00,22730.10,22751.10,36857.470,233950,17934.648
2023-02-15 05:00:00 PM,22751.00,22825.00,22733.20,22793.40,11929.680,96675,6263.211
2023-02-15 06:00:00 PM,22793.50,23066.00,22760.00,22963.00,37376.490,216580,20774.023
2023-02-15 07:00:00 PM,22963.10,23345.70,22934.10,23310.60,78875.576,412534,41690.379
2023-02-15 08:00:00 PM,23310.60,24357.00,23285.90,24144.80,173137.880,878290,94038.762
2023-02-15 09:00:00 PM,24144.80,24300.00,24011.00,24181.00,55406.516,320440,28799.081
2023-02-15 10:00:00 PM,24181.00,24420.00,24120.00,24155.70,49934.420,312193,25575.219
2023-02-15 11:00:00 PM,24155.60,24356.70,24154.50,24332.60,28456.672,185193,15410.802
2023-02-16 12:00:00 AM,24332.70,24934.10,24287.00,24609.90,101112.936,581031,54045.214
2023-02-16 01:00:00 AM,24609.90,24709.90,24582.20,24649.20,21884.823,169458,11625.244
2023-02-16 02:00:00 AM,24649.20,24765.00,24624.60,24697.80,15685.866,145178,7897.511
2023-02-16 03:00:00 AM,24697.90,24771.00,24680.00,24741.00,10822.901,95941,5341.568
2023-02-16 04:00:00 AM,24741.00,24764.60,24647.90,24647.90,14936.436,116120,7504.670
2023-02-16 05:00:00 AM,24647.90,24730.70,24613.10,24694.40,12513.208,99625,6397.231
2023-02-16 06:00:00 AM,24694.40,24752.40,24578.00,24597.90,19096.117,122068,8646.534
2023-02-16 07:00:00 AM,24597.90,24652.00,24427.00,24630.80,38570.696,231395,19060.890
2023-02-16 08:00:00 AM,24630.80,24673.70,24583.90,24592.60,12090.868,103233,5791.646
2023-02-16 09:00:00 AM,24592.60,24670.00,24571.60,24662.80,10580.787,91280,5760.706
2023-02-16 10:00:00 AM,24662.80,24678.00,24622.50,24634.50,8445.833,74248,4036.273
2023-02-16 11:00:00 AM,24634.50,24638.50,24520.90,24580.00,17425.660,132192,7910.039
2023-02-16 12:00:00 PM,24580.00,24630.00,24468.80,24607.10,17900.741,148089,9482.511
2023-02-16 01:00:00 PM,24607.20,24694.00,24361.00,24465.00,54062.576,318294,25810.094
2023-02-16 02:00:00 PM,24465.10,24534.60,24312.00,24448.20,51268.553,313750,26077.190
2023-02-16 03:00:00 PM,24448.20,25104.80,24405.40,25090.20,91046.449,502633,49654.263
2023-02-16 04:00:00 PM,25090.20,25290.00,24620.00,24905.40,149453.087,828336,75067.022
2023-02-16 05:00:00 PM,24905.40,24969.60,24766.90,24896.40,33713.016,253938,16289.292
2023-02-16 06:00:00 PM,24896.40,25044.00,24861.10,24976.40,24140.088,190503,12476.443
2023-02-16 07:00:00 PM,24976.40,25005.30,24832.00,24879.00,17009.822,137233,8370.950
2023-02-16 08:00:00 PM,24879.10,24884.10,24450.00,24581.50,61317.096,359414,28673.808
2023-02-16 09:00:00 PM,24581.50,24590.40,24372.90,24554.00,28693.148,205362,14220.171
2023-02-16 10:00:00 PM,24554.00,24569.50,24000.00,24012.80,54634.097,350751,24445.711
2023-02-16 11:00:00 PM,24012.80,24113.60,23518.00,23526.60,93058.355,496278,41440.744
2023-02-17 12:00:00 AM,23526.60,23787.30,23350.00,23718.50,75326.163,412980,38383.215
2023-02-17 01:00:00 AM,23718.50,23858.00,23652.20,23852.20,20079.870,148615,10756.832
2023-02-17 02:00:00 AM,23852.20,23857.80,23755.20,23778.10,16409.142,123871,6991.626
2023-02-17 03:00:00 AM,23778.10,23924.70,23762.80,23839.10,13851.455,105085,7524.217
